name,freereturns,items_sold,item_status,shipping_price,item_price
Laura Mercier Bronzing Pressed Powder Dune Bronze 0.28oz/ml New In Box,True,,Brand New,0,2275
NIB! Laura Mercier SUNDROP Tinted Moisturizer Bronzer 0.5 oz,True,,Brand New,655,1998
Femme Couture Mineral Effects Baked Bronzer Tropic Touch Tropical Touch 0.32 oz,False,,New without box,0,2400
Ready To Wear New York Couture Finish Self Correcting Bronzer 0.92 oz/26 g NIB,False,,New without box,580,2200
Benefit Mini Hoola Matte Bronzer Original 0.08 oz / 2.5g,True,,Brand New,0,1095
LAURA GELLER Baked Face  Body Frosting-Glow Bronzer Powder Tahitian Glow  .70 Oz,True,68 sold,Brand New,0,3000
Benefit Toasted HOOLA Matte Bronzer - Full Size 0.28 oz. No Brush See Note,False,,New without box,0,1499
Laura Geller Baked Bronze-N-Brighten Bronzer Super Size 24g New in Box,False,,Brand New,0,2199
New Charlotte Tilbury Beautiful Skin Sun-Kissed Glow Bronzer 2 Medium,False,12 sold,,,3997
"2 Pack bareMinerals All-Over Face Color Bronzer Warmth, .05 oz Bare Minerals",False,,,,2795
Charlotte Tilbury Airbrush Bronzer - 3 Tan .56oz,False,,,,2779
Laura Geller Baked Bronze-N-Brighten Bronzer Super Size 24g New in Box,False,,,,2199
2x Estee Lauder  Bronze Goddess Powder Bronzer Limited #02 Medium 0.08 oz/2.3 g,False,,,,999
"Physicians Formula Bronze Booster Glow-Boosting Baked Bronzer, Medium to Dark",False,,,,1499
(2) Tarte Park Ave Princess Light-Medium Face And Body Bronzer Waterproof NEW,False,,,,1599
New in Box! Too Faced Chocolate Soleil Matte Bronzer 8g/.28oz ~ Full Size,False,,,,2495
Laura Geller Baked Bronze N Brighten Bronzer *Medium Multipurpose New Box 0.32oz,False,38 sold,Brand New,0,1299
"Rimmel London Natural - 022 Sun Bronze - Bronzer, Matte Finish, 0.49oz",False,21 sold,Brand New,0,565
Laura Geller Baked Bronze N Brighten Bronzer Medium Multipurpose New Box 0.32oz,False,,Brand New,0,1449
"Estee Lauder Bronze Goddess Powder Bronzer, 02 MEDIUM, Full Size, New & Sealed",False,,Brand New,,2800
Motives® Bronzing Duo,False,,Brand New,0,4795
Charlotte Tilbury Pillow Talk Beauty Ling Wand Highlighter 0.40oz  New With Box,True,,Brand New,0,2899
Motives® Bronzing Duo – Dual-Tone Matte & Shimmer Bronzer for Contour & Glow,False,,Brand New,0,4795
MERIT Bronze Balm Sheer Sculpting Bronzer - Quince - 0.44 oz Authentic,True,73 sold,Brand New,0,2290
Benefit Hoola Matte Powder Bronzer for Face Jumbo Size 16g/0.56oz. New,False,38 sold,New without box,0,3149
New Charlotte Tilbury Beautiful Skin Sun-Kissed Glow Bronzer 2 Medium,False,12 sold,Brand New,0,3997
BareMinerals All Over WARMTH Natural Looking Glow Bronzer Powder .05 oz Sealed,False,,Brand New,0,1460
Tarte Park Ave Princess Bronzer .32 oz Full Size please read,False,,New without box,450,1299
(2) Tarte Park Ave Princess Light-Medium Face And Body Bronzer Waterproof NEW,False,,New without box,0,1599
Tarte Park Ave Princess Waterproof Face & Body Bronzer ONLY LIGHT-MEDIUM,False,,Brand New,0,1519
GUERLAIN ~ TERRA SOLEIA TAN ENHANCING BRONZER ~ .95 OZ JUMBO SIZE UNBOXED,False,,New without box,0,3080
Clinique True Bronze Pressed Powder Bronzer 02 SUNKISSED Refill,False,,New without box,0,1595
"Clinique True Bronze Pressed Powder Bronzer -  02 Sunkissed, 0.33 oz",False,,Brand New,0,2450
"BUY 1, GET 1 AT 20% OFF (add 2) NYX Matte Bronzer, MBB01 Light (W/ SMUDGED)",False,,New without box,0,1898
" 2 Rimmel Natural Bronzer ~ 022 Sun Bronze, Free Shipping.",False,,New without box,0,1299
"Rimmel London Natural - 022 Sun Bronze - Bronzer, Matte Finish, 0.49oz",False,,Brand New,0,565
Too Faced Chocolate Soleil ~ Medium to Deep Matte Bronzer ~ Travel 2.5g/.08 oz.,False,72 sold,New without box,0,699
