name,freereturns,items_sold,item_status,shipping_price,item_price
Donner DLP-124 Electric Guitar HH Pickup Solid Body Sunburst With Gig Bag Strap,True,,Brand New,0,9999
Peavey Raptor® Custom Silverburst Electric Guitar,True,,Brand New,0,19999
Donner Q1 Electric Guitar H-S-S Pickups Solid Body Glossy + Gig Bag Rock & Blues,True,174 sold,Brand New,,9884
"LyxPro Beginner 30” Electric Guitar & Electric Guitar Accessories, Blue",True,88 sold,Pre-Owned,0,6587
In Stock Rosewood Fingerboard Black Custom Electric Guitar Ships from USA,True,,Brand New,0,21824
ST Electric Guitar Solid Body GSTM-3 Metallic Finish Full-Size ,False,,Brand New,0,7959
Full-Size Black Electric Guitar Starter Package with 20-watt Amp and Accessories,False,121 sold,Brand New,0,11997
In Stock Rosewood Fingerboard 6-String Metallic Gold Standard Electric Guitar,True,,Brand New,0,19360
Donner DLP-124 Electric Guitar HH Pickup Solid Body Sunburst With Gig Bag Strap,False,,,,9999
Donner Q1 Electric Guitar H-S-S Pickups Solid Body Red Glossy + Bag Rock & Blues,False,109 sold,,,9884
Donner DST-200 Electric Guitar Coil Split Tremelo Bridge H-S-S Pickup Solid Body,False,,,,8999
🎸Donner DST-200 Electric Guitar HSS Pickup Coil Split Tremolo Bridge Solid Body,False,191 sold,,,9399
Donner DST-100 Electric Guitar With Gig Bag Humbucker H-S-S Pickups,False,,,,9999
🎸Donner DST-200 Electric Guitar Tremolo Bridge Coil Spilt Solid Body HSS Pickup,False,,,,9999
Donner DJC-1000 Jazz Tele Electric Guitar Humbucker HH Pickups Thinline Gig Bag,False,,,,9999
"Blue 39"" Electric Guitar 6String with 25W AMP+Bag+Accessories Pack Beginner Kit",False,,,,13999
Custom Flying V Electric Guitar HH Pickups Mahogany Body&Neck Black Hardware,False,,Brand New,0,31000
"39"" Full-Size Electric Guitar Beginner Kit w/ Gig Bag, Tremolo Bar, Accessories",False,,Open Box,10864,73000
Full-Size Black Electric Guitar Starter Package with 20-Watt Amp and Accessories,False,57 sold,Brand New,0,10899
"Glarry GTL Maple Fingerboard 39"" Electric Guitar Gigbag Right Handed School US",True,42 sold,Brand New,0,5999
Donner DST-200 Electric Guitar Coil Split Tremelo Bridge H-S-S Pickup Solid Body,True,,Brand New,0,8999
"Donner DMT-66 39"" Electric Guitar Purplish Black Solid Body HSS Pickup + Gig Bag",True,,Brand New,0,11999
Donner DJC-1000 Electric Guitar Tele Jazz Design HH Pickup + Gig Bag Strap Cable,True,,Brand New,0,10999
Peavey Raptor® Plus Ivory Electric Guitar,False,,Brand New,0,19999
Donner DJC-1000 Jazz Tele Electric Guitar Humbucker HH Pickups Thinline Gig Bag,True,,Certified - Refurbished,0,9999
LP Custom  Electric Guitar solid Mahogany Gold hardware USA Warehouse in stock,False,,Brand New,,18990
Glarry GST Electric Guitar w/Bag &Accessories For Beginner Right Handed Colorful,True,,Brand New,0,5399
olympic White Stratocaster electric guitar. Unbranded,False,,Brand New,0,12900
Donner DLP-124 Electric Guitar HH Pickup Solid Body Sunburst With Gig Bag Strap,False,,Brand New,0,9999
Donner DJC-1000 Electric Guitar Tele Jazz Design HH Pickup + Gig Bag Strap Cable,False,,Brand New,0,10999
YOU PICK -NEW TELE-STYLE 4 STRING TENOR ELECTRIC GUITAR W/ GIG BAG,False,,Brand New,0,17500
Full-Size Black Electric Guitar Starter Package with 20-watt Amp and Accessories,False,,Brand New,0,11997
Squier Sonic Stratocaster Limited-Edition Electric Guitar Surf Green,False,,Brand New,0,15999
Full-Size Black Electric Guitar Starter Package with 20-Watt Amp and Accessories,False,,Brand New,0,10899
Squier Sonic Stratocaster Laurel Fingerboard Electric Guitar Ultraviolet,False,,Brand New,0,21999
Jackson JS Series Dinky Arch Top JS22 6 String Electric Guitar,False,,Brand New,0,16999
Jackson Warrior JS32 Electric Guitar Black,False,,Brand New,0,39999
NEW SOLID 6 STRING WESTERN SWING & COUNTRY STEEL ELECTRIC GUITAR with GIG BAG,False,,Brand New,0,12999
Hot sales electric guitar piphone 1959 Les Paul Standard Mahogany body USA,False,,Brand New,0,21900
🔥NEW! US warehouse Smoked gradient standard LP electric guitar chrome hardware,False,,Brand New,4000,15480
ST Red Electric Guitar Maple Fretboard Chrome Hardware FR Bridge Solid Body,False,,Brand New,0,34500
"Glarry GTL Electric Guitar 39"" 5 Colors Right Handed  With Bag & Accessories",True,88+ sold,Brand New,0,6498
Donner DST-200 Electric Guitar Tremolo Bridge SSH Pickup Coul Spilt Solid Body,True,,Brand New,0,9999
Flame maple top 6 string standard LP electric guitar Mahogany body in stock,False,,Brand New,2000,18900
Green Right Handed 7String Electric Guitar Solid Body 5S Pickups Maple Fretboard,False,,Brand New,0,23900
Glarry ST Basswood Electric Guitar 6 Strings Right Handed For Student Black,False,,Brand New,0,5399
Donner Q1 Electric Guitar H-S-S Pickups Solid Body Red Glossy + Bag Rock & Blues,True,109 sold,Brand New,,9884
🎸 Donner DST-100 Electric Guitar Beginner Bundle H-H-S Solid Body Glossy Blue,True,79 sold,Brand New,,9998
🎸Donner DMT-66 Electric Guitar SSH Pickup Solid Body Gray + Tremelo Bar Gig Bag,True,,Brand New,0,11999
Donner DMT-66 Electric Guitar With Gig Bag Tremolo Bar HSS Pickup Gradient Blue,True,,Brand New,0,11999
H in stock black Electric Guitar Custom Shop with P90 pickups shipping quickly,False,,Brand New,0,22685
Squier Sonic Stratocaster Limited-Edition Electric Guitar Surf Green,False,54 sold,Brand New,0,15999
🎸 Donner DST-100 Electric Guitar With Amp Solid Body HSS Pickups Sapphire Blue,True,,Brand New,0,9999
Jackson JS Series Dinky Arch Top JS22 6 String Electric Guitar,True,103 sold,Brand New,0,16999
🎸Donner DST-200 Electric Guitar HSS Pickup Coil Split Tremolo Bridge Solid Body,True,191 sold,Brand New,,9399
Donner DST-550 Electric Guitar Solid Body Tremolo Bridge 7 Tone-switch Options,True,,Brand New,0,27999
RSW DIY Electric Guitar kit with Basswoo Body Maple Neck and Fingerboard 22 Fret,False,,Brand New,2048,11830
Donner HUSH X Electric Guitar Headless HS Pickups Solid Body With Gig Bag White,True,,Brand New,0,27500
Black Electric Guitar Starter Package with Flamed Veneer Top 20-Watt Amp & More,False,27 sold,Brand New,0,11799
Jackson Warrior JS32 Electric Guitar Black,False,,Brand New,0,39999
"39"" Full Size 170 Style Electric Guitar HSH Pickup School Band with Bag",True,,Brand New,0,6858
New 6 Colors Flame Type Beginner Electric Guitar +Bag Case +Cable +Strap +Picks,False,462+ sold,Brand New,0,6495
New ListingEpiphone Les Paul Special-II  Electric Guitar  Gloss Black - Body,False,,Open Box,0,9499
Glarry Stylish Electric Guitar School Band With Carry Bag & 20W AMP Black,True,,Brand New,0,7648
🎸Donner DST-80 Electric Guitar Matte Black Wood Grain SSS Pickup With Amplifier,True,,Brand New,0,10999
Full Size Basswood Electric Guitar+Strap+Cord+Gigbag Beginner  Christmas Gift,True,326+ sold,Brand New,0,5699
"Glarry Full Size 39"" GST Electric Guitar with 20W Amp, Carry Bag,Strap White",True,,Brand New,0,8599
"Glarry School Band 39"" Full-Size GST Electric Guitar Beginner Kit, Bag,20W AMP",False,67 sold,Brand New,0,8799
Right Handed 170 Style 6 Colors Electric Guitar +Strap+ Cord+ Gigbag+ Picks,True,,Brand New,0,6199
Jackson Dinky Arch Top JS22-7 DKA HT 7 String Satin Black Electric Guitar,True,239 sold,Brand New,,16999
Squier Sonic Stratocaster Laurel Fingerboard Electric Guitar Ultraviolet,False,,Brand New,0,21999
"39.37"" Beginner Sunset Electric Guitar +Bag Case +Cable +Strap +Picks 7 Color",False,"1,181+ sold",Brand New,0,6489
New Listing22 Frets Milk yellow electric guitar HH pickup shipped from US warehouse,False,,Brand New,,25470
Squier Sonic Stratocaster HSS Limited-Edition Electric Guitar 2-Color Sunburst,False,67 sold,Brand New,0,15999
Donner DST-100 Electric Guitar With Gig Bag Humbucker H-S-S Pickups,True,,Certified - Refurbished,0,9999
New Glarry Student GTL Maple Fingerboard Electric Guitar Bag Strap Right Handed,True,59+ sold,Brand New,0,6998
Glarry Electric Guitar GST 6 Strings Rosewood Fingerboard With Carry Bag Strap,True,99 sold,Brand New,0,5699
