name,freereturns,items_sold,item_status,shipping_price,item_price
"Set 6 Squishmallows 2023 Easter Squad  Bunny Chick Duck 5"" Mini Plush Doll",False,,Brand New,614,4999
"Squishmallows 12"" Monica Purple Axolotl Fuzzy Belly Official Jazwares Medium",True,55 sold,Brand New,0,719
"Jazwares - Squishmallows Original Micromallows 8-Pack 2.5"" Plush Set",False,,Brand New,0,2290
squishmallows,False,,Brand New,1000,8512
Squishmallow Bigfoot Bundle ,False,,Brand New,2120,5400
"Squishmallow 8"" Sheba The Purple Cow Bigfoot Hybrid Select Series NWT",True,,Brand New,547,2880
Squishmallow Easter 2025 Lindy the Cookie Bunny NEW 12 Inch RARE 1st to Market,True,,Brand New,,3185
"Squishmallow Kellytoy Plush Sonic the Hedgehog 8"" Inch NWT NEW",False,,Brand New,,1499
Squishmallow 12” Whim the Sloth Tie Dye Overstuffed Plush NEW w Tags Embroidered,False,,,,2797
Squishmallow Easter 2025 Lindy the Cookie Bunny NEW 12 Inch RARE 1st to Market,False,,,,3185
"Squishmallow Official Kellytoy Plush Black Light Tito the Tucan 8"" NWT",False,447 sold,,,999
"Squishmallows 12"" Monica Purple Axolotl Fuzzy Belly Official Jazwares Medium",False,55 sold,,,719
"Squishmallow Kellytoy Plush Sonic the Hedgehog Tails 8"" Inch NWT NEW",False,130 sold,,,1499
Squishmallow Bluby the Chocolate Blueberry Valentines Day 2025 NEW 10 inch FTM,False,,,,2097
"Squishmallows 16"" Sawtelle the Strawberry Pancakes Plush Toy",False,78 sold,,,2499
"New! 8"" Squishmallows SHEBA the Bigfoot Plush Toy, 2025 Select Series",False,,,,3600
"Squishmallow Official Kellytoy Plush Black Light Tito the Tucan 8"" NWT",False,,Brand New,,999
"Squishmallows JUMBO Ronnie The Brown White Cow  24"" RARE Plush Toy ⭐ 2025 NEW",False,,Brand New,0,4999
Squishmallows 5” ZOMBIE BENNY Mallow Mash 2024 SELECT SERIES Halloween,False,21 sold,Brand New,550,1232
"NEW BOX OF 4 MICROMALLOWS by Original SQUISHMALLOWS APPROX 2"" YOU PICK!",False,,Brand New,697,1097
"Squishmallows 8"" Domingo the Goat with Egg Blue Easter Plush New With Tags",True,,Brand New,0,2099
2024 Panini Squishmallows Series 1 Halloween Chrome Prizm Holo Blas Bat #8,False,,Pre-Owned,175,499
2024 Panini Squishmallow Optichrome Orange Pulser Fantasy Squad /99 #4 Prizm SP,False,,Pre-Owned,175,4999
Panini Squishmallows Card #6 Valentines Prizm Dustin Dog  Seasonal,False,,Pre-Owned,175,499
"Squishmallows 8"" Brina the Strawberry Milk Bigfoot NWT",False,,Brand New,700,2000
"Squishmallow Kellytoy Perfect Pair 8"" Aniela the Coffee Mug Plush NWT NEW Single",False,,Brand New,,1299
Squishmallows Squish a longs Series 1 New! *Free Shipping*,True,,Brand New,,1798
"Squishmallows Kellytoy Plush Wilderness Animal Nikita the Owl 5"" NWT",False,,Brand New,,999
"New! 5"" Squishmallows IRVING the Rhino Plush Toy 2024",True,,Brand New,0,1200
"Squishmallow Kellytoy Plush Limited Squad Zozo The Teal Big Foot Yeti 8"" NWT",False,,Brand New,,1299
"Squishmallows Kellytoy Plush Hug Mees Bevalee the Unicorn 10"" NWT New with Tag",False,,Brand New,,1299
"Squishmallows JUMBO Dandii the KOI FISH 24"" RARE Plush Toy ⭐ ~ 2025 NEW",False,,Brand New,0,5275
"Squishmallows Kellytoy Plush Hug Mees Cora the Cat 10"" NWT New with Tag",False,,Brand New,,1299
"Squishmallows Theodore the Taupe Roadrunner 8"" New In Original Packaging SEALED",False,,Brand New,484,1500
Squishmallows - Easter Triston the Chick Flower Plush - 5'',False,,Brand New,0,1200
"Squishmallow Kellytoy Plush Limited Squad Bren The Green Big Foot Yeti 8"" NWT",False,,Brand New,,1299
Panini Squishmallows Card #2 Valentines Prizm Charizma Cat Seasonal,False,,Pre-Owned,175,499
2024 Panini Squishmallow Cards Optichrome Prizm Holo #4 Harrison Hippo Wildlife,False,,Pre-Owned,175,299
Panini Squishmallows Card #8 Valentines Foil Francine Frog Seasonal,False,,Pre-Owned,175,499
2024 Panini Squishmallow Optichrome Prizm Holo Violet #67 Sealife Squad,False,,Pre-Owned,175,299
"Squishmallow Kellytoy Plush Sanrio Hello Kitty 8"" Easter 2024 NWT NEW",False,,Brand New,,1798
"NWT Squishmallows TRISTON The Chick 16"" Easter 2024 Plush Kellytoy",False,,Brand New,899,999
Squishmallows Bubbles  Purple Bunny Fuzzy Belly Glitter Ears  Plush Easter 18”,True,,Brand New,0,3595
"Squishmallows 16"" Sawtelle the Strawberry Pancakes Plush Toy",False,,Brand New,0,2499
"Squishmallows Kellytoy Plush Hug Mees Raina the Blue Penguin with Crown 10"" NWT",False,,Brand New,,1199
"Squishmallow Kellytoy Plush Limited Squad Benny The Brown Big Foot Yeti 8"" NWT",False,,Brand New,,1499
2024 Panini Squishmallow Holo Silver Foil # 20 Mallow Styles Real Dill Pickle,False,,Pre-Owned,175,350
2024 Panini Squishmallows Halloween Chrome Prizm Holo Stump Skeleton Cat #5,False,,Pre-Owned,175,499
"Squishmallow Kellytoy Plush Disney Piglet Winnie The Pooh 8"" Inch NWT NEW",False,,Brand New,,1299
"Squishmallows Kellytoy Plush Animal Danny the Dino Dinosaur 8"" NWT",False,,Brand New,,1299
Squishmallows Wilka Peach Cat with flowers on body 8 inches,False,,Brand New,0,2599
"Squishmallow Official Kellytoy Plush Black Light Myrna the Griffin 12"" NWT",False,,Brand New,,1499
Squishmallows Misha the Pumpkin Candle 8 inch 2024 Autumn NEW with Tags,True,,Brand New,,1396
"Squishmallow Kellytoy Plush Archie The Pink Axolotl Exclusive 8"" Inch NWT NEW",False,,Brand New,,1998
"Squishmallows Kellytoy Clip-On Halloween 2024 Otto the Reaper 3.5"" Inch NWT",False,,Brand New,,1199
Pokemon Gengar Squishmallow Plush 10” Inch NEW w/Tags - READY TO SHIP,False,,Brand New,0,1599
"New! 3.5"" Squishmallows MARIA DEL MAR the Jackalope Plush Clip Toy",True,,Brand New,0,1200
"New Squishmallows Cupid Valentine's Day Clown 8"" Plush Pink - 2025",False,,Brand New,469,1798
"Squishmallow Kellytoy Plush Sonic the Hedgehog Tails 8"" Inch NWT NEW",False,,Brand New,,1499
Bluey  Hug Mees Squishmallows  6” Plush Childs Ultra Soft Stuffed Toy,False,,Brand New,0,800
"New! 8"" Squishmallows SHEBA the Bigfoot Plush Toy, 2025 Select Series",True,,Brand New,0,3600
"Squishmallows 5"" Valentines Ingred the Cow",False,,Brand New,0,1495
"Pokemon 20"" Squishmallows Pikachu Plush",False,,Brand New,0,4499
"Squishmallows Sonic the Hedgehog 8"" Amy the Hedgehog Holding Flower Plush Doll",False,,Brand New,0,2499
"Squishmallows  Cole the Turtle  5""",False,,Brand New,0,1099
"Squishmallow Kellytoy Plush Sanrio My Melody 8"" Easter 2024 NWT NEW",False,,Brand New,,1499
"Squishmallow Kellytoy Plush Limited Squad Zozo The Teal Big Foot Yeti 12"" NWT",False,,Brand New,,1998
Squishmallow 12” Whim the Sloth Tie Dye Overstuffed Plush NEW w Tags Embroidered,True,,Brand New,,2797
NEW Large Squishmallows 24” Pokémon Snorlax Plush w Tag COSTCO Exclusive 24 Inch,False,,Brand New,0,9500
"Brand New 14"" Casey the Cactus Squishmallow CVS Exclusive Valentine's Day 2023",True,,Brand New,0,3145
Squishmallow 8 inch Luxe the Rainbow Caticorn NWT 2021,False,,Brand New,655,1000
"SQUISHMALLOWS 7.5"" Plush Lune the Loch Ness Monster",False,,Brand New,462,999
"Squishmallow Elliene Parrot 5"" Soft Plush Toy- Free shipping (#2906)",False,,Pre-Owned,0,1000
"5 LOT Squishmallows Netflix STRANGER THINGS Clip Bags 4"" Inch Plush",False,,Brand New,0,2488
"Original Squishmallows 8"" Allegra The Chocolate Frappe",False,,Brand New,655,1299
"Squishmallow Kellytoy Plush Sonic Knuckles Tails Knuckles 8"" Inch NWT Set of 4",False,,Brand New,,5499
Squishmallows Original 14-Inch Sunshine Rainbow with Clouds - Large Ultrasoft,False,,Brand New,1200,1998
"Squishmallows 2024 Easter Squad 8"" Ozu the Bear Plush Doll",False,,Brand New,0,1998
Squishmallow 2024 Tandy The Chocolate Easter Bunny 5 inch ,False,,Brand New,0,2200
Squishmallow Panini Trading Cam Ugly Sweater Holiday Chrome Foil Christmas # 10,False,,Pre-Owned,175,350
2024 Panini Squishmallow Cards Optichrome Prizm Holo #93 Cinnamon Yogurt Food,False,,Pre-Owned,175,299
2024 Panini Squishmallow Cards Optichrome Prizm Holo #93 Cinnamon Yogurt Food,False,,Pre-Owned,175,299
Squishmallows - Original Disney - FROZEN - Olaf and Elsa 2-Pack -  Plush,True,,Brand New,0,1698
Panini Squishmallows Card #7 Valentines Foil Mont Monster Seasonal,False,,Pre-Owned,175,499
Panini Squishmallows Card #1 Easter Foil Sydnee Squirrel Seasonal,False,,Pre-Owned,175,499
Squishmallows Kyler the Lime Axolotl 2.5 Inch Soft Plush Micromallow,False,,Pre-Owned,399,800
Squishmallow Bluby the Chocolate Blueberry Valentines Day 2025 NEW 10 inch FTM,True,,Brand New,,2097
Squishmallows 8” Plush Toys Unicorn Twizzlers Koala Bubble Yum Jolly Rancher New,True,,Brand New,,6495
"Hello Kitty 20"" Squishmallows Jumbo Plush and Friends",False,,Brand New,0,2499
"12"" SQUISHMALLOWS Jazwares Lil' Gouda Grilled Cheese Sandwich Plush New w/ Tags",False,,Brand New,871,2499
"Squishmallows Celebration Squad 8"" Deontay the Retriever Dog Confetti Plush Doll",False,,Brand New,0,1998
"NWT! Squishmallows Fuzzamallow Candy The Bunny Rabbit 12"" Plush  Easter",False,,Brand New,999,2999
"NEW 2.5"" Yekaterina The Clown Bigfoot Squishmallow Plush Legendary squad Capsule",False,13 sold,Brand New,625,1200
